episode_id,show_type,campaign,arc,episode_number,title,airdate,vod_url,wiki_url,runtime,watched,notes,has_cooldown,cooldown_date
Main Campaign|Campaign One: Vox Machina|1|Arrival at Kraghammer,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,1,Arrival at Kraghammer,2015.03.12,https://www.youtube.com/watch?v=i-p9lWIhcLQ,https://criticalrole.fandom.com/wiki/Arrival_at_Kraghammer,3:03:07,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|2|Into the Greyspine Mines,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,2,Into the Greyspine Mines,2015.03.19,https://www.youtube.com/watch?v=JTie0S_5gjE,https://criticalrole.fandom.com/wiki/Into_the_Greyspine_Mines,3:19:40,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|3|Strange Bedfellows,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,3,Strange Bedfellows,2015.03.26,https://www.youtube.com/watch?v=kpkCcb--r90,https://criticalrole.fandom.com/wiki/Strange_Bedfellows,2:36:16,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|4|Attack on the Duergar Warcamp,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,4,Attack on the Duergar Warcamp,2015.04.02,https://www.youtube.com/watch?v=kGxiZNbjwGI,https://criticalrole.fandom.com/wiki/Attack_on_the_Duergar_Warcamp,4:42:42,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|5|The Trick about Falling,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,5,The Trick about Falling,2015.04.09,https://www.youtube.com/watch?v=u6QpXDL7E8Y,https://criticalrole.fandom.com/wiki/The_Trick_about_Falling,3:09:41,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|6|Breaching the Emberhold,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,6,Breaching the Emberhold,2015.04.16,https://www.youtube.com/watch?v=cemCmD27Rnc,https://criticalrole.fandom.com/wiki/Breaching_the_Emberhold,2:57:00,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|7|The Throne Room,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,7,The Throne Room,2015.04.23,https://www.youtube.com/watch?v=XGs3bOX4XFQ,https://criticalrole.fandom.com/wiki/The_Throne_Room,3:58:41,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|8|Glass and Bone,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,8,Glass and Bone,2015.04.30,https://www.youtube.com/watch?v=A14MzQxxdwM,https://criticalrole.fandom.com/wiki/Glass_and_Bone,3:01:25,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|9|Yug'Voril Uncovered,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,9,Yug'Voril Uncovered,2015.05.07,https://www.youtube.com/watch?v=IsLIiKFSJLQ,https://criticalrole.fandom.com/wiki/Yug%27Voril_Uncovered,3:05:52,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|10|K'Varn Revealed,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,10,K'Varn Revealed,2015.05.14,https://www.youtube.com/watch?v=AvnaMU7Dr-E,https://criticalrole.fandom.com/wiki/K%27Varn_Revealed,4:38:34,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|11|The Temple Showdown,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,11,The Temple Showdown,2015.05.21,https://www.youtube.com/watch?v=xoYyHYsl5po,https://criticalrole.fandom.com/wiki/The_Temple_Showdown,5:32:34,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|12|Dungeons & DragonsCampaign Tips,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,12,Dungeons & DragonsCampaign Tips,2015.05.28,https://www.youtube.com/watch?v=P8EcS0WYbuc,https://criticalrole.fandom.com/wiki/Dungeons_%26_Dragons_Campaign_Tips,3:37:00,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|13|Escape from the Underdark,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,13,Escape from the Underdark,2015.06.04,https://www.youtube.com/watch?v=315mZGX-mjs,https://criticalrole.fandom.com/wiki/Escape_from_the_Underdark,3:28:37,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|14|Shopping and Shipping,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,14,Shopping and Shipping,2015.06.11,https://www.youtube.com/watch?v=Z4tjssfei5E,https://criticalrole.fandom.com/wiki/Shopping_and_Shipping,3:21:14,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|15|Skyward,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,15,Skyward,2015.06.25,https://www.youtube.com/watch?v=_dIBh0dGhzI,https://criticalrole.fandom.com/wiki/Skyward,4:09:01,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|16|Enter Vasselheim,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,16,Enter Vasselheim,2015.07.02,https://www.youtube.com/watch?v=elarLmuDtzU,https://criticalrole.fandom.com/wiki/Enter_Vasselheim,2:57:38,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|17|Hubris,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,17,Hubris,2015.07.23,https://www.youtube.com/watch?v=QDdT5UqGaDw,https://criticalrole.fandom.com/wiki/Hubris,4:05:43,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|18|Trial of the Take: Part 1,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,18,Trial of the Take: Part 1,2015.07.30,https://www.youtube.com/watch?v=60sUkTh6xBc,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_1,3:01:59,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|19|Trial of the Take: Part 2,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,19,Trial of the Take: Part 2,2015.08.06,https://www.youtube.com/watch?v=IW6GgFQg3kk,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_2,4:43:04,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|20|Trial of the Take: Part 3,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,20,Trial of the Take: Part 3,2015.08.13,https://www.youtube.com/watch?v=GFU_qqwSs0U,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_3,3:14:44,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|21|Trial of the Take: Part 4,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,21,Trial of the Take: Part 4,2015.08.20,https://www.youtube.com/watch?v=zGaISHs2s7Q,https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_4,4:44:19,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|22|Aramente to Pyrah,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,22,Aramente to Pyrah,2015.08.27,https://www.youtube.com/watch?v=1GY3HTZE5R0,https://criticalrole.fandom.com/wiki/Aramente_to_Pyrah,4:40:27,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|23|The Rematch,Main Campaign,Campaign One: Vox Machina,Arc 1: Kraghammer and Vasselheim,23,The Rematch,2015.09.10,https://www.youtube.com/watch?v=FM6L4tuyXq0,https://criticalrole.fandom.com/wiki/The_Rematch,3:52:17,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|24|The Feast,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,24,The Feast,2015.09.17,https://www.youtube.com/watch?v=kre27f30IVs,https://criticalrole.fandom.com/wiki/The_Feast,3:56:02,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|25|Crimson Diplomacy,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,25,Crimson Diplomacy,2015.09.24,https://www.youtube.com/watch?v=yrrB_q-V8G0,https://criticalrole.fandom.com/wiki/Crimson_Diplomacy,3:47:12,FALSE,,FALSE,
Main Campaign|Campaign One: Vox Machina|26|Consequences and Cows,Main Campaign,Campaign One: Vox Machina,Arc 2: The Briarwoods,26,Consequences and Cows,2015.10.01,https://www.youtube.com/watch?v=_2CCQnD4AQ8,https://criticalrole.fandom.com/wiki/Consequences_and_Cows,4:41:18,FALSE,,FALSE,
